"","Portfolio Name","Security ID","Type","Quantity","Price","Date"
"15199","DHARMA EQ","ABBV US Equity","",12600,"",2016-06-07
"15200","DHARMA EQ","AAPL US Equity","",6402,"",2016-06-07
"15201","DHARMA EQ","AMAT US Equity","",30700,"",2016-06-07
"15202","DHARMA EQ","BAX US Equity","",12000,"",2016-06-07
"15203","DHARMA EQ","BA US Equity","",4550,"",2016-06-07
"15204","DHARMA EQ","CA US Equity","",15700,"",2016-06-07
"15205","DHARMA EQ","CAT US Equity","",3850,"",2016-06-07
"15206","DHARMA EQ","CVX US Equity","",3839,"",2016-06-07
"15207","DHARMA EQ","CSCO US Equity","",16000,"",2016-06-07
"15208","DHARMA EQ","TPR US Equity","",21600,"",2016-06-07
"15209","DHARMA EQ","GLW US Equity","",37500,"",2016-06-07
"15210","DHARMA EQ","DE US Equity","",8500,"",2016-06-07
"15211","DHARMA EQ","DOW US Equity","",11583,"",2016-06-07
"15212","DHARMA EQ","EMR US Equity","",12000,"",2016-06-07
"15213","DHARMA EQ","GM US Equity","",15000,"",2016-06-07
"15214","DHARMA EQ","INTC US Equity","",24000,"",2016-06-07
"15215","DHARMA EQ","JNJ US Equity","",7000,"",2016-06-07
"15216","DHARMA EQ","KLAC US Equity","",4000,"",2016-06-07
"15217","DHARMA EQ","LRCX US Equity","",5500,"",2016-06-07
"15218","DHARMA EQ","LLY US Equity","",4300,"",2016-06-07
"15219","DHARMA EQ","MRK US Equity","",13750,"",2016-06-07
"15220","DHARMA EQ","MSFT US Equity","",12450,"",2016-06-07
"15221","DHARMA EQ","PCAR US Equity","",10600,"",2016-06-07
"15222","DHARMA EQ","PFE US Equity","",15000,"",2016-06-07
"15223","DHARMA EQ","QCOM US Equity","",7650,"",2016-06-07
"15224","DHARMA EQ","UTX US Equity","",6000,"",2016-06-07
"15225","DHARMA EQ","KORS US Equity","",10000,"",2016-06-07
"15226","DHARMA EQ","SLB US Equity","",7600,"",2016-06-08
"15227","DHARMA EQ","POT CN Equity","",15450,"",2016-06-08
"15228","DHARMA EQ","NOVN SW Equity","",5700,"",2016-06-08
"15229","DHARMA EQ","ROG SW Equity","",2600,"",2016-06-08
"15230","DHARMA EQ","ADEN SW Equity","",11950,"",2016-06-08
"15231","DHARMA EQ","ABBN SW Equity","",12600,"",2016-06-08
"15232","DHARMA EQ","NESN SW Equity","",8800,"",2016-06-08
"15233","DHARMA EQ","SYNN SW Equity","",2100,"",2016-06-08
"15234","DHARMA EQ","BMW GY Equity","",11100,"",2016-06-08
"15235","DHARMA EQ","SIE GY Equity","",5300,"",2016-06-08
"15236","DHARMA EQ","VOW3 GY Equity","",2000,"",2016-06-08
"15237","DHARMA EQ","SX6PEX GY Equity","",14800,"",2016-06-08
"15238","DHARMA EQ","BAS GY Equity","",6500,"",2016-06-08
"15239","DHARMA EQ","BAYN GY Equity","",8500,"",2016-06-08
"15240","DHARMA EQ","ESM16 Index","",25,"",2016-06-08
"15241","DHARMA EQ","CS FP Equity","",30400,"",2016-06-08
"15242","DHARMA EQ","MC FP Equity","",5200,"",2016-06-08
"15243","DHARMA EQ","ML FP Equity","",11200,"",2016-06-08
"15244","DHARMA EQ","SU FP Equity","",3000,"",2016-06-08
"15245","DHARMA EQ","TEC FP Equity","",5000,"",2016-06-08
"15246","DHARMA EQ","SCR FP Equity","",16500,"",2016-06-08
"15247","DHARMA EQ","ADN LN Equity","",150000,"",2016-06-08
"15248","DHARMA EQ","BLT LN Equity","",36054,"",2016-06-08
"15249","DHARMA EQ","BA/ LN Equity","",50000,"",2016-06-08
"15250","DHARMA EQ","BT/A LN Equity","",134000,"",2016-06-08
"15251","DHARMA EQ","NXT LN Equity","",4200,"",2016-06-08
"15252","DHARMA EQ","SBRY LN Equity","",155000,"",2016-06-08
"15253","DHARMA EQ","RDSA NA Equity","",7600,"",2016-06-08
"15254","DHARMA EQ","ESV US Equity","",9600,"",2016-06-08
"15255","DHARMA EQ","IUKD LN Equity","",40000,"",2016-06-08
"15256","DHARMA EQ","STX US Equity","",21100,"",2016-06-08
"15257","DHARMA EQ","SPY5 LN Equity","",8000,"",2016-06-08
"15258","DHARMA EQ","ETN US Equity","",10000,"",2016-06-08
"15259","DHARMA EQ","XDWF GY Equity","",39274.028,"",2016-06-08
"15260","DHARMA EQ","XSMI SW Equity","",11000,"",2016-06-08
"15261","DHARMA EQ","XSDR GY Equity","",5200,"",2016-06-08
"15262","DHARMA EQ","XSX6 GY Equity","",12000,"",2016-06-08
"15263","DHARMA EQ","AIR FP Equity","",16000,"",2016-06-08
"15264","DHARMA EQ","LYB US Equity","",7100,"",2016-06-08
"15265","DHARMA EQ","ATCOA SS Equity","",11100,"",2016-06-08
"15266","DHARMA EQ","ABBV US Equity","",12600,"",2016-06-08
"15267","DHARMA EQ","AAPL US Equity","",6402,"",2016-06-08
"15268","DHARMA EQ","AMAT US Equity","",30700,"",2016-06-08
"15269","DHARMA EQ","BAX US Equity","",12000,"",2016-06-08
"15270","DHARMA EQ","BA US Equity","",4550,"",2016-06-08
"15271","DHARMA EQ","CA US Equity","",15700,"",2016-06-08
"15272","DHARMA EQ","CAT US Equity","",3850,"",2016-06-08
"15273","DHARMA EQ","CVX US Equity","",3839,"",2016-06-08
"15274","DHARMA EQ","CSCO US Equity","",16000,"",2016-06-08
"15275","DHARMA EQ","TPR US Equity","",21600,"",2016-06-08
"15276","DHARMA EQ","GLW US Equity","",37500,"",2016-06-08
"15277","DHARMA EQ","DE US Equity","",4500,"",2016-06-08
"15278","DHARMA EQ","DOW US Equity","",11583,"",2016-06-08
"15279","DHARMA EQ","EMR US Equity","",12000,"",2016-06-08
"15280","DHARMA EQ","GM US Equity","",15000,"",2016-06-08
"15281","DHARMA EQ","INTC US Equity","",24000,"",2016-06-08
"15282","DHARMA EQ","JNJ US Equity","",7000,"",2016-06-08
"15283","DHARMA EQ","KLAC US Equity","",4000,"",2016-06-08
"15284","DHARMA EQ","LRCX US Equity","",5500,"",2016-06-08
"15285","DHARMA EQ","LLY US Equity","",4300,"",2016-06-08
"15286","DHARMA EQ","MRK US Equity","",13750,"",2016-06-08
"15287","DHARMA EQ","MSFT US Equity","",12450,"",2016-06-08
"15288","DHARMA EQ","PCAR US Equity","",10600,"",2016-06-08
"15289","DHARMA EQ","PFE US Equity","",15000,"",2016-06-08
