"","Portfolio Name","Security Ticker","Price","Date","Shares"
"324","DHARMA STRATEGY",".TFCFEES Equity",856739.01,2016-10-04,-1
"325","DHARMA STRATEGY",".TFCFEES Equity",858581.63,2016-10-05,-1
"326","DHARMA STRATEGY",".TFCFEES Equity",861007.53,2016-10-06,-1
"327","DHARMA STRATEGY",".TFCFEES Equity",862838.38,2016-10-07,-1
"328","DHARMA STRATEGY",".TFCFEES Equity",868379.71,2016-10-10,-1
"329","DHARMA STRATEGY",".TFCFEES Equity",870210.3,2016-10-11,-1
"330","DHARMA STRATEGY",".TFCFEES Equity",872044.51,2016-10-12,-1
"331","DHARMA STRATEGY",".TFCFEES Equity",873855.99,2016-10-13,-1
"332","DHARMA STRATEGY",".TFCFEES Equity",875694.21,2016-10-14,-1
"333","DHARMA STRATEGY",".TFCFEES Equity",881194.18,2016-10-17,-1
"334","DHARMA STRATEGY",".TFCFEES Equity",883051.57,2016-10-18,-1
"335","DHARMA STRATEGY",".TFCFEES Equity",884900.08,2016-10-19,-1
"336","DHARMA STRATEGY",".TFCFEES Equity",886679.21,2016-10-20,-1
"337","DHARMA STRATEGY",".TFCFEES Equity",889181.19,2016-10-21,-1
"338","DHARMA STRATEGY",".TFCFEES Equity",894744.62,2016-10-24,-1
"339","DHARMA STRATEGY",".TFCFEES Equity",896602.63,2016-10-25,-1
"340","DHARMA STRATEGY",".TFCFEES Equity",898473.38,2016-10-26,-1
"341","DHARMA STRATEGY",".TFCFEES Equity",900328.7,2016-10-27,-1
"342","DHARMA STRATEGY",".TFCFEES Equity",902179.29,2016-10-28,-1
"343","DHARMA STRATEGY",".TFCFEES Equity",907655.2,2016-10-31,-1
"344","DHARMA STRATEGY",".TFCFEES Equity",914513.47,2016-11-02,-1
"345","DHARMA STRATEGY",".TFCFEES Equity",916347.72,2016-11-03,-1
"346","DHARMA STRATEGY",".TFCFEES Equity",918167.04,2016-11-04,-1
"347","DHARMA STRATEGY",".TFCFEES Equity",923769.96,2016-11-07,-1
"348","DHARMA STRATEGY",".TFCFEES Equity",925666.99,2016-11-08,-1
"349","DHARMA STRATEGY",".TFCFEES Equity",928482.74,2016-11-09,-1
"350","DHARMA STRATEGY",".TFCFEES Equity",930460.29,2016-11-10,-1
"351","DHARMA STRATEGY",".TFCFEES Equity",938065.54,2016-11-14,-1
"352","DHARMA STRATEGY",".TFCFEES Equity",940066.21,2016-11-15,-1
